[0.000000] (-) TimerEvent: {}
[0.000601] (-) JobUnselected: {'identifier': 'ackermann_mux'}
[0.000874] (-) JobUnselected: {'identifier': 'f1tenth_stack'}
[0.000975] (-) JobUnselected: {'identifier': 'fixposition_driver_ros2'}
[0.001047] (-) JobUnselected: {'identifier': 'fixposition_gnss_tf'}
[0.001093] (-) JobUnselected: {'identifier': 'fixposition_odometry_converter_ros2'}
[0.001155] (-) JobUnselected: {'identifier': 'joy_teleop'}
[0.001269] (-) JobUnselected: {'identifier': 'key_teleop'}
[0.001383] (-) JobUnselected: {'identifier': 'mouse_teleop'}
[0.001520] (-) JobUnselected: {'identifier': 'ouster_msgs'}
[0.001588] (-) JobUnselected: {'identifier': 'realsense2_camera'}
[0.001623] (-) JobUnselected: {'identifier': 'realsense2_camera_msgs'}
[0.001654] (-) JobUnselected: {'identifier': 'realsense2_description'}
[0.001686] (-) JobUnselected: {'identifier': 'ros2_ouster'}
[0.001716] (-) JobUnselected: {'identifier': 'teleop_tools'}
[0.001746] (-) JobUnselected: {'identifier': 'teleop_tools_msgs'}
[0.001776] (-) JobUnselected: {'identifier': 'vesc'}
[0.001806] (-) JobUnselected: {'identifier': 'vesc_ackermann'}
[0.001836] (-) JobUnselected: {'identifier': 'vesc_driver'}
[0.001865] (-) JobUnselected: {'identifier': 'vesc_msgs'}
[0.001898] (-) EventReactorShutdown: {}
