[0.000000] (-) TimerEvent: {}
[0.000583] (-) JobUnselected: {'identifier': 'ackermann_mux'}
[0.000857] (-) JobUnselected: {'identifier': 'f1tenth_stack'}
[0.000958] (-) JobUnselected: {'identifier': 'fixposition_driver_ros2'}
[0.001023] (-) JobUnselected: {'identifier': 'fixposition_gnss_tf'}
[0.001078] (-) JobUnselected: {'identifier': 'fixposition_odometry_converter_ros2'}
[0.001140] (-) JobUnselected: {'identifier': 'joy_teleop'}
[0.001254] (-) JobUnselected: {'identifier': 'key_teleop'}
[0.001373] (-) JobUnselected: {'identifier': 'mouse_teleop'}
[0.001525] (-) JobUnselected: {'identifier': 'ouster_ros'}
[0.001592] (-) JobUnselected: {'identifier': 'ouster_sensor_msgs'}
[0.001627] (-) JobUnselected: {'identifier': 'realsense2_camera'}
[0.001659] (-) JobUnselected: {'identifier': 'realsense2_camera_msgs'}
[0.001689] (-) JobUnselected: {'identifier': 'realsense2_description'}
[0.001719] (-) JobUnselected: {'identifier': 'teleop_tools'}
[0.001749] (-) JobUnselected: {'identifier': 'teleop_tools_msgs'}
[0.001778] (-) JobUnselected: {'identifier': 'vesc'}
[0.001808] (-) JobUnselected: {'identifier': 'vesc_ackermann'}
[0.001837] (-) JobUnselected: {'identifier': 'vesc_driver'}
[0.001867] (-) JobUnselected: {'identifier': 'vesc_msgs'}
[0.001901] (-) EventReactorShutdown: {}
