[0.000000] (-) TimerEvent: {}
[0.000593] (-) JobUnselected: {'identifier': 'ackermann_mux'}
[0.000946] (-) JobUnselected: {'identifier': 'f1tenth_stack'}
[0.001263] (-) JobUnselected: {'identifier': 'fixposition_driver_ros2'}
[0.001407] (-) JobUnselected: {'identifier': 'fixposition_gnss_tf'}
[0.001476] (-) JobUnselected: {'identifier': 'fixposition_odometry_converter_ros2'}
[0.001641] (-) JobUnselected: {'identifier': 'joy_teleop'}
[0.001789] (-) JobUnselected: {'identifier': 'key_teleop'}
[0.001975] (-) JobUnselected: {'identifier': 'mouse_teleop'}
[0.002073] (-) JobUnselected: {'identifier': 'ouster_ros'}
[0.002125] (-) JobUnselected: {'identifier': 'ouster_sensor_msgs'}
[0.002173] (-) JobUnselected: {'identifier': 'realsense2_camera'}
[0.002219] (-) JobUnselected: {'identifier': 'realsense2_camera_msgs'}
[0.002263] (-) JobUnselected: {'identifier': 'realsense2_description'}
[0.002308] (-) JobUnselected: {'identifier': 'teleop_tools'}
[0.002353] (-) JobUnselected: {'identifier': 'teleop_tools_msgs'}
[0.002398] (-) JobUnselected: {'identifier': 'vesc'}
[0.002444] (-) JobUnselected: {'identifier': 'vesc_ackermann'}
[0.002489] (-) JobUnselected: {'identifier': 'vesc_driver'}
[0.002534] (-) JobUnselected: {'identifier': 'vesc_msgs'}
[0.002584] (-) EventReactorShutdown: {}
