[0.000000] (-) TimerEvent: {}
[0.000601] (-) JobUnselected: {'identifier': 'ackermann_mux'}
[0.000878] (-) JobUnselected: {'identifier': 'f1tenth_stack'}
[0.000976] (-) JobUnselected: {'identifier': 'fixposition_driver_lib'}
[0.001041] (-) JobUnselected: {'identifier': 'fixposition_driver_ros2'}
[0.001096] (-) JobUnselected: {'identifier': 'fixposition_gnss_tf'}
[0.001158] (-) JobUnselected: {'identifier': 'fixposition_odometry_converter_ros1'}
[0.001272] (-) JobUnselected: {'identifier': 'fixposition_odometry_converter_ros2'}
[0.001387] (-) JobUnselected: {'identifier': 'fpl2bag'}
[0.001525] (-) JobUnselected: {'identifier': 'joy_teleop'}
[0.001592] (-) JobUnselected: {'identifier': 'key_teleop'}
[0.001627] (-) JobUnselected: {'identifier': 'mouse_teleop'}
[0.001659] (-) JobUnselected: {'identifier': 'realsense2_camera'}
[0.001691] (-) JobUnselected: {'identifier': 'realsense2_camera_msgs'}
[0.001723] (-) JobUnselected: {'identifier': 'realsense2_description'}
[0.001754] (-) JobUnselected: {'identifier': 'teleop_tools'}
[0.001784] (-) JobUnselected: {'identifier': 'teleop_tools_msgs'}
[0.001815] (-) JobUnselected: {'identifier': 'vesc'}
[0.001845] (-) JobUnselected: {'identifier': 'vesc_ackermann'}
[0.001875] (-) JobUnselected: {'identifier': 'vesc_driver'}
[0.001907] (-) JobUnselected: {'identifier': 'vesc_msgs'}
[0.001940] (-) EventReactorShutdown: {}
